Frame_Number,Inference_Time_sec,FPS,Total_Birds,Max_Confidence,Avg_Confidence
516,0.14696,6.8,0,0.0,0.0
517,0.15847,6.31,0,0.0,0.0
518,0.14767,6.77,0,0.0,0.0
519,0.15294,6.54,0,0.0,0.0
520,0.14617,6.84,0,0.0,0.0
521,0.15539,6.44,0,0.0,0.0
522,0.15285,6.54,0,0.0,0.0
523,0.15366,6.51,0,0.0,0.0
524,0.15542,6.43,0,0.0,0.0
525,0.15304,6.53,0,0.0,0.0
526,0.14843,6.74,0,0.0,0.0
527,0.15632,6.4,0,0.0,0.0
528,0.14474,6.91,0,0.0,0.0
529,0.14998,6.67,0,0.0,0.0
530,0.14929,6.7,0,0.0,0.0
531,0.14758,6.78,0,0.0,0.0
532,0.14723,6.79,0,0.0,0.0
533,0.14528,6.88,0,0.0,0.0
534,0.14597,6.85,0,0.0,0.0
535,0.1604,6.23,0,0.0,0.0
536,0.15069,6.64,0,0.0,0.0
537,0.1439,6.95,0,0.0,0.0
538,0.14518,6.89,0,0.0,0.0
539,0.1544,6.48,0,0.0,0.0
